input_root,run_dir,relative_run_dir,n_target_files,has_interaction_log,has_steps,has_trajectory,has_summary,has_output_log,matched_files
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-06_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-06_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_7b-02_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_7b-02_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-05_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-05_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-01_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-01_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-00_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-00_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-02_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-02_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-09_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-09_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-08_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-08_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-08_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-08_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-04_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-04_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_7b-05_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_7b-05_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_7b-09_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_7b-09_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-03_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-03_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-03_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-03_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-05_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-05_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
wandb_downloads_student_simulation_5projects,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-06_latest,scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_concentration_model_qwen25_vl_3b-06_latest,4,True,True,True,True,False,"['interaction_log.json', 'steps.json', 'summary.json', 'trajectory.json']"
